people,state,party,senate_years,house_years
"Bill Hagerty, ",Tennessee,Republican,2021-Present,Non
"Janice Hahn, ",California,Democratic,No,2011-2017
"James Haley, A.",Florida,Democratic,No,1953-1977
"John Hall, J.",New York,Democratic,No,2007-2011
"Katie Hall, ",Indiana,Democratic,No,1981-1985
"Kwanza Hall, ",Georgia,Democratic,No,2020-2021
"Ralph Hall, M.",Texas,Republican,No,1981-2015
"Sam Hall, ",Texas,Democratic,No,1975-1987
"Tim Hall, L.",Illinois,Democratic,No,1975-1977
"Tony Hall, P.",Ohio,Democratic,No,1979-2002
"Deborah Halvorson, L.",Illinois,Democratic,No,2009-2011
"Dan Hamburg, ",California,Democratic,No,1993-1995
"Lee Hamilton, H.",Indiana,Democratic,No,1965-1999
"John Hammerschmidt, P.",Arkansas,Republican,No,1967-1993
"Colleen Hanabusa, ",Hawaii,Democratic,No,2011-2019
"Kent Hance, R.",Texas,Democratic,No,1979-1985
"Mel Hancock, ",Missouri,Republican,No,1989-1997
"Karen Handel, C.",Georgia,Republican,No,2017-2019
"James Hanley, M.",New York,Democratic,No,1965-1981
"Richard Hanna, L.",New York,Republican,No,2011-2017
"Richard Hanna, T.",California,Democratic,No,1963-1975
"Mark Hannaford, W.",California,Democratic,No,1975-1979
"Robert Hanrahan, P.",Illinois,Republican,No,1973-1975
"Clifford Hansen, P.",Wyoming,Republican,1967-1979,Non
"George Hansen, V.",Idaho,Republican,No,"1965-1969, 1975-1985"
"James Hansen, V.",Utah,Republican,No,1981-2003
"Julia Hansen, Butler",Washington,Democratic,No,1959-1975
"Orval Hansen, ",Idaho,Republican,No,1969-1975
"Josh Harder, ",California,Democratic,No,2019-Present
"Cresent Hardy, ",Nevada,Republican,No,2015-2017
"Phil Hare, ",Illinois,Democratic,No,2007-2011
"Tom Harkin, ",Iowa,Democratic,1985-2015,1975-1985
"Jane Harman, ",California,Democratic,No,"1993-1999, 2001-2011"
"Gregg Harper, ",Mississippi,Republican,No,2009-2019
"Michael Harrington, J.",Massachusetts,Democratic,No,1969-1979
"Andy Harris, ",Maryland,Republican,No,2011-Present
"Claude Harris, ",Alabama,Democratic,No,1987-1993
"Herbert Harris, ",Virginia,Democratic,No,1975-1981
"Kamala Harris, D.",California,Democratic,2017-2021,Non
"Katherine Harris, ",Florida,Republican,No,2003-2007
"Frank Harrison, ",Pennsylvania,Democratic,No,1983-1985
"William Harsha, H.",Ohio,Republican,No,1961-1981
"Diana Harshbarger, ",Tennessee,Republican,No,2021-Present
"Gary Hart, W.",Colorado,Democratic,1975-1987,Non
"Melissa Hart, A.",Pennsylvania,Republican,No,2001-2007
"Philip Hart, A.",Michigan,Democratic,1959-1977,Non
"Vance Hartke, ",Indiana,Democratic,1959-1977,Non
"Thomas Hartnett, F.",South Carolina,Republican,No,1981-1987
"Vicky Hartzler, ",Missouri,Republican,No,2011-Present
"James Harvey, ",Michigan,Republican,No,1961-1975
"Floyd Haskell, K.",Colorado,Democratic,1973-1979,Non
"Margaret Hassan, Wood",New Hampshire,Democratic,2017-Present,Non
"J. Hastert, Dennis",Illinois,Republican,No,1987-2007
"Alcee Hastings, L.",Florida,Democratic,No,1993-2021
"Doc Hastings, ",Washington,Republican,No,1995-2015
"James Hastings, F.",New York,Republican,No,1969-1977
"Orrin Hatch, G.",Utah,Republican,1977-2019,Non
"Charles Hatcher, ",Georgia,Democratic,No,1981-1993
"Mark Hatfield, O.",Oregon,Republican,1967-1997,Non
"Paul Hatfield, ",Montana,Democratic,1977-1979,Non
"William Hathaway, D.",Maine,Democratic,1973-1979,1965-1973
"Augustus Hawkins, F.",California,Democratic,No,1963-1991
"Paula Hawkins, ",Florida,Republican,1981-1987,Non
"Josh Hawley, ",Missouri,Republican,2019-Present,Non
"Samuel Hayakawa, Ichiye",California,Republican,1977-1983,Non
"Charles Hayes, A.",Illinois,Democratic,No,1983-1993
"Jahana Hayes, ",Connecticut,Democratic,No,2019-Present
"James Hayes, A.",Louisiana,Republican,No,1987-1997
"Philip Hayes, H.",Indiana,Democratic,No,1975-1977
"Robin Hayes, ",North Carolina,Republican,No,1999-2009
"Wayne Hays, L.",Ohio,Democratic,No,1949-1977
"J. Hayworth, D.",Arizona,Republican,No,1995-2007
"Nan Hayworth, ",New York,Republican,No,2011-2013
"F. Hebert, Edward",Louisiana,Democratic,No,1941-1977
"Ken Hechler, ",West Virginia,Democratic,No,1959-1977
"Chic Hecht, ",Nevada,Republican,1983-1989,Non
"Denny Heck, ",Washington,Democratic,No,2013-2021
"Joseph Heck, J.",Nevada,Republican,No,2011-2017
"Margaret Heckler, M.",Massachusetts,Republican,No,1967-1983
"Joel Hefley, ",Colorado,Republican,No,1987-2007
"Howell Heflin, ",Alabama,Democratic,1979-1997,Non
"W. Hefner, ",North Carolina,Democratic,No,1975-1999
"Cecil Heftel, ",Hawaii,Democratic,No,1977-1987
"Frederick Heineman, ",North Carolina,Republican,No,1995-1997
"Martin Heinrich, ",New Mexico,Democratic,2013-Present,2009-2013
"John Heinz, ",Pennsylvania,Republican,1977-1993,1971-1977
"Heidi Heitkamp, ",North Dakota,Democratic,2013-2019,Non
"Dean Heller, ",Nevada,Republican,2011-2019,2007-2011
"Jesse Helms, ",North Carolina,Republican,1973-2003,Non
"Henry Helstoski, ",New Jersey,Democratic,No,1965-1977
"David Henderson, N.",North Carolina,Democratic,No,1961-1977
"Bill Hendon, ",North Carolina,Republican,No,"1981-1983, 1985-1987"
"Paul Henry, B.",Michigan,Republican,No,1985-1995
"Jeb Hensarling, ",Texas,Republican,No,2003-2019
"Wally Herger, ",California,Republican,No,1987-2013
"Kevin Hern, ",Oklahoma,Republican,No,2018-Present
"Yvette Herrell, ",New Mexico,Republican,No,2021-Present
"Beutler, Herrera, Jaime",Washington,Republican,No,2011-Present
"Sandlin, Herseth, Stephanie",South Dakota,Democratic,No,2004-2011
"Dennis Hertel, M.",Michigan,Democratic,No,1981-1993
"Jody Hice, B.",Georgia,Republican,No,2015-Present
"John Hickenlooper, W.",Colorado,Democratic,2021-Present,Non
"Floyd Hicks, V.",Washington,Democratic,No,1965-1977
"Brian Higgins, ",New York,Democratic,No,2005-Present
"Clay Higgins, ",Louisiana,Republican,No,2017-Present
"Jack Hightower, E.",Texas,Democratic,No,1975-1985
"John Hiler, Patrick",Indiana,Republican,No,1981-1991
"Baron Hill, P.",Indiana,Democratic,No,"1999-2005, 2007-2011"
"J. Hill, French",Arkansas,Republican,No,2015-Present
"Katie Hill, ",California,Democratic,No,2019
"Rick Hill, ",Montana,Republican,No,1997-2001
"Van Hilleary, ",Tennessee,Republican,No,1995-2003
"Earl Hilliard, F.",Alabama,Democratic,No,1993-2003
"Elwood Hillis, H.",Indiana,Republican,No,1971-1987
"James Himes, A.",Connecticut,Democratic,No,2009-Present
"Maurice Hinchey, D.",New York,Democratic,No,1993-2013
"Ruben Hinojosa, ",Texas,Democratic,No,1997-2017
"Andrew Hinshaw, J.",California,Republican,No,1973-1977
"Ashley Hinson, ",Iowa,Republican,No,2021-Present
"Jon Hinson, C.",Mississippi,Republican,No,1979-1983
"Mazie Hirono, K.",Hawaii,Democratic,2013-Present,2007-2013
"Peter Hoagland, ",Nebraska,Democratic,No,1989-1995
"David Hobson, L.",Ohio,Republican,No,1991-2009
"George Hochbrueckner, J.",New York,Democratic,No,1987-1995
"Kathleen Hochul, C.",New York,Democratic,No,2011-2013
"Paul Hodes, W.",New Hampshire,Democratic,No,2007-2011
"Kaneaster, Hodges, Jr.",Arkansas,Democratic,1977-1979,Non
"Joseph Hoeffel, M.",Pennsylvania,Democratic,No,1999-2005
"Peter Hoekstra, ",Michigan,Republican,No,1993-2011
"John Hoeven, ",North Dakota,Republican,2011-Present,Non
"Lawrence Hogan, J.",Maryland,Republican,No,1969-1975
"Martin Hoke, R.",Ohio,Republican,No,1993-1997
"Tim Holden, ",Pennsylvania,Democratic,No,1993-2013
"George Holding, ",North Carolina,Republican,No,2013-2021
"Chet Holifield, ",California,Democratic,No,"1943-1947, 1973-1975"
"Kenneth Holland, L.",South Carolina,Democratic,No,1975-1983
"Harold Hollenbeck, C.",New Jersey,Republican,No,1977-1983
"Ernest Hollings, F.",South Carolina,Democratic,1965-2005,Non
"Trey Hollingsworth, ",Indiana,Republican,No,2017-Present
"Clyde Holloway, ",Louisiana,Republican,No,1987-1993
"Marjorie Holt, S.",Maryland,Republican,No,1973-1987
"Rush Holt, ",New Jersey,Democratic,No,1999-2015
"Elizabeth Holtzman, ",New York,Democratic,No,1973-1981
"Michael Honda, M.",California,Democratic,No,2001-2017
"Darlene Hooley, ",Oregon,Democratic,No,1997-2009
"Larry Hopkins, J.",Kentucky,Republican,No,1979-1993
"Joan Horn, Kelly",Missouri,Democratic,No,1991-1993
"Kendra Horn, S.",Oklahoma,Democratic,No,2019-2021
"Stephen Horn, ",California,Republican,No,1993-2003
"Steven Horsford, ",Nevada,Democratic,No,"2013-2015, 2019-Present"
"Frank Horton, J.",New York,Republican,No,1963-1993
"Craig Hosmer, ",California,Republican,No,1953-1975
"John Hostettler, N.",Indiana,Republican,No,1995-2007
"Amo Houghton, ",New York,Republican,No,1987-2005
"Chrissy Houlahan, ",Pennsylvania,Democratic,No,2019-Present
"James Howard, J.",New Jersey,Democratic,No,1965-1989
"Allan Howe, ",Utah,Democratic,No,1975-1977
"Steny Hoyer, H.",Maryland,Democratic,No,1981-Present
"Roman Hruska, L.",Nebraska,Republican,1953-1977,Non
"Carroll, Hubbard, Jr.",Kentucky,Democratic,No,1975-1993
"Robert Huber, J.",Michigan,Republican,No,1973-1975
"Thomas Huckaby, ",Louisiana,Democratic,No,1977-1993
"Walter Huddleston, (Dee)",Kentucky,Democratic,1973-1985,Non
"William Hudnut, ",Indiana,Republican,No,1973-1975
"Richard Hudson, ",North Carolina,Republican,No,2013-Present
"Tim Huelskamp, ",Kansas,Republican,No,2011-2017
"Michael Huffington, ",California,Republican,No,1993-1995
"Jared Huffman, ",California,Democratic,No,2013-Present
"Harold Hughes, E.",Iowa,Democratic,1969-1975,Non
"William Hughes, J.",New Jersey,Democratic,No,1975-1995
"Bill Huizenga, ",Michigan,Republican,No,2011-Present
"Kenny Hulshof, C.",Missouri,Republican,No,1997-2009
"Randy Hultgren, ",Illinois,Republican,No,2011-2019
"Gordon Humphrey, J.",New Hampshire,Republican,1979-1991,Non
"Hubert Humphrey, H.",Minnesota,Democratic,"1949-1965, 1971-1979",Non
"Muriel Humphrey, ",Minnesota,Democratic,1977-1979,Non
"William Hungate, L.",Missouri,Democratic,No,1963-1977
"John Hunt, E.",New Jersey,Republican,No,1967-1975
"Duncan Hunter, ",California,Republican,No,1981-2009
"Duncan Hunter, D.",California,Republican,No,2009-2020
"Will Hurd, ",Texas,Republican,No,2015-2021
"Robert Hurt, ",Virginia,Republican,No,2011-2017
"Asa Hutchinson, ",Arkansas,Republican,No,1997-2001
"Edward Hutchinson, ",Michigan,Republican,No,1963-1977
"John Hutchinson, G.",West Virginia,Democratic,No,1979-1981
"Tim Hutchinson, ",Arkansas,Republican,1997-2003,1993-1997
"Kay Hutchison, Bailey",Texas,Republican,1993-2013,Non
"Earl Hutto, ",Florida,Democratic,No,1979-1995
"Henry Hyde, J.",Illinois,Republican,No,1975-2007
"Cindy Hyde-Smith, ",Mississippi,Republican,2018-Present,Non
"Richard Ichord, H.",Missouri,Democratic,No,1961-1981
"Bob Inglis, ",South Carolina,Republican,No,"1993-1999, 2005-2011"
"James Inhofe, M.",Oklahoma,Republican,1994-Present,1987-1995
"Daniel Inouye, K.",Hawaii,Democratic,1963-2012,1959-1963
"Jay Inslee, ",Washington,Democratic,No,"1993-1995, 1999-2012"
"Andrew Ireland, P.",Florida,Republican,No,1977-1993
"Johnny Isakson, ",Georgia,Republican,2005-2019,1999-2005
"Steve Israel, ",New York,Democratic,No,2001-2017
"Darrell Issa, E.",California,Republican,No,"2001-2019, 2021-Present"
"Ernest Istook, ",Oklahoma,Republican,No,1993-2007
"Lee, Jackson, Sheila",Texas,Democratic,No,1995-Present
"Henry Jackson, M.",Washington,Democratic,1953-1985,1941-1953
"Jesse Jackson, ",Illinois,Democratic,No,1995-2012
"Ronny Jackson, ",Texas,Republican,No,2021-Present
"Andrew, Jacobs, Jr.",Indiana,Democratic,No,"1965-1973, 1975-1997"
"Chris Jacobs, ",New York,Republican,No,2020-Present
"Sara Jacobs, ",California,Democratic,No,2021-Present
"Craig James, T.",Florida,Republican,No,1989-1993
"William Janklow, J.",South Dakota,Republican,No,2003-2004
"John Jarman, ",Oklahoma,Democratic,No,1951-1977
"Jacob Javits, K.",New York,Republican,1957-1981,1947-1955
"Pramila Jayapal, ",Washington,Democratic,No,2017-Present
"William Jefferson, J.",Louisiana,Democratic,No,1991-2009
"James Jeffords, M.",Vermont,Independent,1989-2007,1975-1989
"Hakeem Jeffries, S.",New York,Democratic,No,2013-Present
"Jim Jeffries, ",Kansas,Republican,No,1979-1983
"Edgar Jenkins, L.",Georgia,Democratic,No,1977-1993
"Evan Jenkins, H.",West Virginia,Republican,No,2015-2018
"Lynn Jenkins, ",Kansas,Republican,No,2009-2019
"William Jenkins, L.",Tennessee,Republican,No,1997-2007
"John Jenrette, ",South Carolina,Democratic,No,1975-1981
"Roger Jepsen, W.",Iowa,Republican,1979-1985,Non
"Bobby Jindal, ",Louisiana,Republican,No,2005-2008
"Mike Johanns, ",Nebraska,Republican,2009-2015,Non
"Christopher John, ",Louisiana,Democratic,No,1997-2005
"Albert Johnson, W.",Pennsylvania,Republican,No,1963-1977
"Bill Johnson, ",Ohio,Republican,No,2011-Present
"Don Johnson, ",Georgia,Democratic,No,1993-1995
"Dusty Johnson, ",South Dakota,Republican,No,2019-Present
"Eddie Johnson, Bernice",Texas,Democratic,No,1993-Present
"Harold Johnson, T.",California,Democratic,No,1959-1981
"Henry Johnson, ",Georgia,Democratic,No,2007-Present
"James Johnson, ",Colorado,Republican,No,1973-1981
"Jay Johnson, W.",Wisconsin,Democratic,No,1997-1999
"Mike Johnson, ",Louisiana,Republican,No,2017-Present
"Nancy Johnson, L.",Connecticut,Republican,No,1983-2007
"Ron Johnson, ",Wisconsin,Republican,2011-Present,Non
"Sam Johnson, ",Texas,Republican,No,1991-2019
"Tim Johnson, ",South Dakota,Democratic,1997-2015,1987-1997
"Timothy Johnson, V.",Illinois,Republican,No,2001-2013
"Eugene Johnston, (Gene)",North Carolina,Republican,No,1981-1983
"Harry Johnston, ",Florida,Democratic,No,1989-1997
"J. Johnston, Bennett",Louisiana,Democratic,1971-1997,Non
"David Jolly, W.",Florida,Republican,No,2014-2017
"Ben Jones, ",Georgia,Democratic,No,1989-1993
"Brenda Jones, ",Michigan,Democratic,No,2018-2019
"Doug Jones, ",Alabama,Democratic,2018-2021,Non
"Ed Jones, ",Tennessee,Democratic,No,1969-1989
"James Jones, R.",Oklahoma,Democratic,No,1973-1987
"Mondaire Jones, ",New York,Democratic,No,2021-Present
"Robert Jones, ",Alabama,Democratic,No,1947-1977
"Stephanie Jones, Tubbs",Ohio,Democratic,No,1999-2008
"Walter Jones, B.",North Carolina,Democratic,No,1965-1993
"Walter Jones, ",North Carolina,Republican,No,1995-2019
"Jim Jontz, ",Indiana,Democratic,No,1987-1993
"Barbara Jordan, ",Texas,Democratic,No,1973-1979
"Jim Jordan, ",Ohio,Republican,No,2007-Present
"David Joyce, P.",Ohio,Republican,No,2013-Present
"John Joyce, ",Pennsylvania,Republican,No,2019-Present
"Steve Kagen, ",Wisconsin,Democratic,No,2007-2011
"Kaiali'i Kahele, ",Hawaii,Democratic,No,2021-Present
"Tim Kaine, ",Virginia,Democratic,2013-Present,Non
"Paul Kanjorski, E.",Pennsylvania,Democratic,No,1985-2011
"Marcy Kaptur, ",Ohio,Democratic,No,1983-Present
"David Karnes, K.",Nebraska,Republican,1987-1989,Non
"Joseph Karth, E.",Minnesota,Democratic,No,1959-1977
"John Kasich, R.",Ohio,Republican,No,1983-2001
"Nancy Kassebaum, Landon",Kansas,Republican,1979-1997,Non
"Robert Kasten, ",Wisconsin,Republican,1981-1993,1975-1979
"Robert Kastenmeier, W.",Wisconsin,Democratic,No,1959-1991
"John Katko, ",New York,Republican,No,2015-Present
"Edward Kaufman, E.",Delaware,Democratic,2009-2010,Non
"Abraham, Kazen, Jr.",Texas,Democratic,No,1967-1985
"William Keating, J.",Ohio,Republican,No,1971-1975
"William Keating, R.",Massachusetts,Democratic,No,2011-Present
"Fred Keller, ",Pennsylvania,Republican,No,2019-Present
"Ric Keller, ",Florida,Republican,No,2001-2009
"Mark Kelly, ",Arizona,Democratic,2020-Present,Non
"Mike Kelly, ",Pennsylvania,Republican,No,2011-Present
"Richard Kelly, ",Florida,Republican,No,1975-1981
"Robin Kelly, L.",Illinois,Democratic,No,2013-Present
"Sue Kelly, W.",New York,Republican,No,1995-2007
"Trent Kelly, ",Mississippi,Republican,No,2015-Present
"Jack Kemp, ",New York,Republican,No,1971-1989
"Dirk Kempthorne, ",Idaho,Republican,1993-1999,Non
"Edward Kennedy, M.",Massachusetts,Democratic,1961-2009,Non
"John Kennedy, ",Louisiana,Republican,2017-Present,Non
"Joseph Kennedy, ",Massachusetts,Democratic,No,1987-1999
"Joseph Kennedy, ",Massachusetts,Democratic,No,2013-2021
"Mark Kennedy, R.",Minnesota,Republican,No,2001-2007
"Patrick Kennedy, J.",Rhode Island,Democratic,No,1995-2011
"Barbara Kennelly, B.",Connecticut,Democratic,No,1981-1999
"Brian Kerns, D.",Indiana,Republican,No,2001-2003
"J. Kerrey, Robert",Nebraska,Democratic,1989-2001,Non
"John Kerry, F.",Massachusetts,Democratic,1985-2013,Non
"William Ketchum, M.",California,Republican,No,1973-1979
"Martha Keys, E.",Kansas,Democratic,No,1975-1979
"Ro Khanna, ",California,Democratic,No,2017-Present
"Ruben Kihuen, J.",Nevada,Democratic,No,2017-2019
"Dale Kildee, E.",Michigan,Democratic,No,1977-2013
"Daniel Kildee, T.",Michigan,Democratic,No,2013-Present
"Derek Kilmer, ",Washington,Democratic,No,2013-Present
"Carolyn Kilpatrick, C.",Michigan,Democratic,No,1997-2011
"Mary Kilroy, Jo",Ohio,Democratic,No,2009-2011
"Andy Kim, ",New Jersey,Democratic,No,2019-Present
"Jay Kim, ",California,Republican,No,1993-1999
"Young Kim, ",California,Republican,No,2021-Present
"Ron Kind, ",Wisconsin,Democratic,No,1997-Present
"Thomas Kindness, N.",Ohio,Republican,No,1975-1987
"Angus King, ",Maine,Independent,2013-Present,Non
"Carleton King, J.",New York,Republican,No,1961-1975
"Peter King, T.",New York,Republican,No,1993-2021
"Steve King, ",Iowa,Republican,No,2003-2021
"Jack Kingston, ",Georgia,Republican,No,1993-2015
"Adam Kinzinger, ",Illinois,Republican,No,2011-Present
"Mark Kirk, Steven",Illinois,Republican,2010-2017,2001-2010
"Paul Kirk, ",Massachusetts,Democratic,2009-2010,Non
"Ann Kirkpatrick, ",Arizona,Democratic,No,"2009-2011, 2013-2017, 2019-Present"
"Larry Kissell, ",North Carolina,Democratic,No,2009-2013
"Gerald Kleczka, D.",Wisconsin,Democratic,No,1983-2005
"Herbert Klein, C.",New Jersey,Democratic,No,1993-1995
"Ron Klein, ",Florida,Democratic,No,2007-2011
"John Kline, ",Minnesota,Republican,No,2003-2017
"Ron Klink, ",Pennsylvania,Democratic,No,1993-2001
"Amy Klobuchar, ",Minnesota,Democratic,2007-Present,Non
"John Kluczynski, C.",Illinois,Democratic,No,1951-1977
"Scott Klug, L.",Wisconsin,Republican,No,1991-1999
"Stephen Knight, ",California,Republican,No,2015-2019
"Joe Knollenberg, ",Michigan,Republican,No,1993-2009
"Edward Koch, I.",New York,Democratic,No,1969-1979
"Ray Kogovsek, ",Colorado,Democratic,No,1979-1985
"Herb Kohl, ",Wisconsin,Democratic,1989-2013,Non
"Jim Kolbe, ",Arizona,Republican,No,1985-2007
"Joseph Kolter, P.",Pennsylvania,Democratic,No,1983-1993
"Ernest Konnyu, L.",California,Republican,No,1987-1989
"Mike Kopetski, ",Oregon,Democratic,No,1991-1995
"Suzanne Kosmas, M.",Florida,Democratic,No,2009-2011
"Peter Kostmayer, H.",Pennsylvania,Democratic,No,"1977-1981, 1983-1993"
"Ken Kramer, ",Colorado,Republican,No,1979-1987
"Frank, Kratovil, Jr.",Maryland,Democratic,No,2009-2011
"John Krebs, H.",California,Democratic,No,1975-1979
"Mike Kreidler, ",Washington,Democratic,No,1993-1995
"Raja Krishnamoorthi, ",Illinois,Democratic,No,2017-Present
"Robert Krueger, C.",Texas,Democratic,1993-1995,1975-1979
"Dennis Kucinich, J.",Ohio,Democratic,No,1997-2013
"John Kuhl, ",New York,Republican,No,2005-2009
"Ann Kuster, M.",New Hampshire,Democratic,No,2013-Present
"David Kustoff, ",Tennessee,Republican,No,2017-Present
"Dan Kuykendall, H.",Tennessee,Republican,No,1967-1975
"Steven Kuykendall, T.",California,Republican,No,1999-2001
"Jon Kyl, ",Arizona,Republican,"1995-2013, 2018-2019",1987-1995
"Peter Kyros, N.",Maine,Democratic,No,1967-1975
"Raul Labrador, R.",Idaho,Republican,No,2011-2019
"John LaFalce, J.",New York,Democratic,No,1975-2003
"Robert Lagomarsino, J.",California,Republican,No,1973-1993
"Darin LaHood, ",Illinois,Republican,No,2015-Present
"Ray LaHood, ",Illinois,Republican,No,1995-2009
"Doug LaMalfa, ",California,Republican,No,2013-Present
"Conor Lamb, ",Pennsylvania,Democratic,No,2018-Present
"Doug Lamborn, ",Colorado,Republican,No,2007-Present
"Nick Lampson, ",Texas,Democratic,No,"1997-2005, 2007-2009"
"H. Lancaster, Martin",North Carolina,Democratic,No,1987-1995
"Leonard Lance, ",New Jersey,Republican,No,2009-2019
"Earl Landgrebe, F.",Indiana,Republican,No,1969-1975
"Mary Landrieu, L.",Louisiana,Democratic,1997-2015,Non
"Phil Landrum, M.",Georgia,Democratic,No,1953-1977
"Jeffrey Landry, M.",Louisiana,Republican,No,2011-2013
"James Langevin, R.",Rhode Island,Democratic,No,2001-Present
"James Lankford, ",Oklahoma,Republican,2015-Present,2011-2015
"Tom Lantos, ",California,Democratic,No,1981-2008
"Steve Largent, ",Oklahoma,Republican,No,1993-2002
"Larry LaRocco, ",Idaho,Democratic,No,1991-1995
"Rick Larsen, ",Washington,Democratic,No,2001-Present
"John Larson, B.",Connecticut,Democratic,No,1999-Present
"Tom Latham, ",Iowa,Republican,No,1995-2015
"Steven LaTourette, C.",Ohio,Republican,No,1995-2013
"Delbert Latta, L.",Ohio,Republican,No,1959-1989
"Robert Latta, E.",Ohio,Republican,No,2007-Present
"Jake LaTurner, ",Kansas,Republican,No,2021-Present
"Greg Laughlin, ",Texas,Republican,No,1989-1997
"Frank Lautenberg, R.",New Jersey,Democratic,"1983-2001, 2003-2013",Non
"Brenda Lawrence, L.",Michigan,Democratic,No,2015-Present
"Al, Lawson, Jr.",Florida,Democratic,No,2017-Present
"Paul Laxalt, D.",Nevada,Republican,1973-1987,Non
"Rick Lazio, ",New York,Republican,No,1993-2001
"Claude Leach, ",Louisiana,Democratic,No,1979-1981
"James Leach, A.",Iowa,Republican,No,1977-2007
"Patrick Leahy, J.",Vermont,Democratic,1975-Present,Non
"Marvin Leath, ",Texas,Democratic,No,1979-1991
"John LeBoutillier, ",New York,Republican,No,1981-1983
"Raymond Lederer, F.",Pennsylvania,Democratic,No,1977-1983
"Barbara Lee, ",California,Democratic,No,1997-Present
"Christopher Lee, J.",New York,Republican,No,2009-2011
"Gary Lee, A.",New York,Republican,No,1979-1983
"Mike Lee, ",Utah,Republican,2011-Present,Non
"Susie Lee, ",Nevada,Democratic,No,2019-Present
"Joseph LeFante, A.",New Jersey,Democratic,No,1977-1979
"Fernandez, Leger, Teresa",New Mexico,Democratic,No,2021-Present
"Robert Leggett, L.",California,Democratic,No,1963-1979
"Richard Lehman, H.",California,Democratic,No,1983-1995
"William Lehman, ",Florida,Democratic,No,1973-1993
"Mickey Leland, ",Texas,Democratic,No,1979-1991
"George LeMieux, S.",Florida,Republican,2009-2011,Non
"Norman Lent, F.",New York,Republican,No,1971-1993
"Debbie Lesko, ",Arizona,Republican,No,2018-Present
"Julia Letlow, ",Louisiana,Republican,No,2021-Present
"Andy Levin, ",Michigan,Democratic,No,2019-Present
"Carl Levin, ",Michigan,Democratic,1979-2015,Non
"Mike Levin, ",California,Democratic,No,2019-Present
"Sander Levin, M.",Michigan,Democratic,No,1983-2019
"Mel Levine, ",California,Democratic,No,1983-1993
"Elliott Levitas, H.",Georgia,Democratic,No,1975-1985
"David Levy, A.",New York,Republican,No,1993-1995
"Jason Lewis, ",Minnesota,Republican,No,2017-2019
"Jerry Lewis, ",California,Republican,No,1979-2013
"John Lewis, ",Georgia,Democratic,No,1987-2020
"Ron Lewis, ",Kentucky,Republican,No,1993-2009
"Thomas Lewis, F.",Florida,Republican,No,1983-1995
"Joseph Lieberman, I.",Connecticut,Independent Democrat,1989-2013,Non
"Ted Lieu, ",California,Democratic,No,2015-Present
"Jim Lightfoot, ",Iowa,Republican,No,1985-1997
"Blanche Lincoln, L.",Arkansas,Democratic,1999-2011,1993-1997
"John Linder, ",Georgia,Republican,No,1993-2011
"Daniel Lipinski, ",Illinois,Democratic,No,2005-2021
"William Lipinski, O.",Illinois,Democratic,No,1983-2005
"Jerry Litton, ",Missouri,Democratic,No,1973-1977
"Bob Livingston, ",Louisiana,Republican,No,1977-2001
"James Lloyd, F.",California,Democratic,No,1975-1981
"Marilyn Lloyd, ",Tennessee,Democratic,No,1975-1995
"Frank LoBiondo, A.",New Jersey,Republican,No,1995-2019
"David Loebsack, ",Iowa,Democratic,No,2007-2021
"Kelly Loeffler, ",Georgia,Republican,2020-2021,Non
"Tom Loeffler, ",Texas,Republican,No,1979-1987
"Zoe Lofgren, ",California,Democratic,No,1995-Present
"Billy Long, ",Missouri,Republican,No,2011-Present
"Cathy Long, ",Louisiana,Democratic,No,1985-1987
"Clarence Long, D.",Maryland,Democratic,No,1963-1985
"Gillis Long, W.",Louisiana,Democratic,No,"1963-1965, 1973-1987"
"Jill Long, L.",Indiana,Democratic,No,1989-1995
"Russell Long, B.",Louisiana,Democratic,1947-1987,Non
"James Longley, ",Maine,Republican,No,1995-1997
"Trent Lott, ",Mississippi,Republican,1989-2007,1973-1989
"Barry Loudermilk, ",Georgia,Republican,No,2015-Present
"Mia Love, B.",Utah,Republican,No,2015-2019
"Alan Lowenthal, S.",California,Democratic,No,2013-Present
"Bill Lowery, ",California,Republican,No,1981-1993
"Nita Lowey, M.",New York,Democratic,No,1989-2021
"Mike Lowry, ",Washington,Democratic,No,1979-1989
"Frank Lucas, D.",Oklahoma,Republican,No,1993-Present
"Ken Lucas, ",Kentucky,Democratic,No,1999-2005
"Blaine Luetkemeyer, ",Missouri,Republican,No,2009-Present
"Richard Lugar, G.",Indiana,Republican,1977-2013,Non
"Grisham, Lujan, Michelle",New Mexico,Democratic,No,2013-2019
"Ben Lujan, Ray",New Mexico,Democratic,2021-Present,2009-2021
"Manuel, Lujan, Jr.",New Mexico,Republican,No,1969-1989
"Charles Luken, ",Ohio,Democratic,No,1991-1993
"Thomas Luken, A.",Ohio,Democratic,No,"1973-1975, 1977-1991"
"Donald Lukens, E.",Ohio,Republican,No,"1967-1971, 1987-1991"
"Cynthia Lummis, M.",Wyoming,Republican,2021-Present,2009-2017
"Stanley Lundine, N.",New York,Democratic,No,1975-1987
"Daniel Lungren, E.",California,Republican,No,"1979-1989, 2005-2013"
"Elaine Luria, G.",Virginia,Democratic,No,2019-Present
"Bill Luther, ",Minnesota,Democratic,No,1995-2003
"Stephen Lynch, F.",Massachusetts,Democratic,No,2001-Present
"Thomas MacArthur, ",New Jersey,Republican,No,2015-2019
